no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,p-n,AET,R
element_1009,1985,289.833143,4.162654916,239.5022395,172.6424094,1701.729595,10.04658622,0.217956317,236.042133,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.328711,166.6785765,5.963832851
element_1009,1986,289.8228909,4.106369885,241.9575895,134.9994914,1702.2085,10.04291967,0.218237334,226.4046014,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2986841,131.2554271,3.744064326
element_1009,1987,289.4301751,4.170774709,241.8201217,147.7865818,1694.528406,9.999579213,0.163640681,253.4886988,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2720807,142.769991,5.016590761
element_1009,1988,290.0095351,4.171426682,240.8983056,148.0913476,1717.168947,9.987100028,0.131085619,140.6781942,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2237798,142.3213845,5.769963113
element_1009,1989,290.2542947,4.173015026,237.4011929,174.2750111,1768.27552,10.03916016,0.177423829,302.9580707,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.288873,167.7435528,6.531458336
element_1009,1990,290.4220507,4.191963986,242.1792035,136.5555856,1742.437922,10.03344951,0.244233379,226.0352332,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.333634,133.2217594,3.333826154
element_1009,1991,289.7877029,4.166175889,238.8404456,163.2884987,1714.830418,9.999824373,0.250799244,255.8576902,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3276457,158.0697992,5.2186995
element_1009,1992,289.3969608,4.209330944,234.9595032,189.1441059,1711.873144,10.0069727,0.239316288,209.6968811,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3036348,181.3219336,7.82217235
element_1009,1993,289.6964174,4.139932891,240.1044547,146.7250111,1705.847138,10.00314487,0.207818863,321.614058,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3310127,142.651667,4.073344058
element_1009,1994,289.858865,4.14522891,243.9417382,143.9125501,1723.6102,10.02467494,0.211620875,241.5961903,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3009909,139.6857917,4.226758435
element_1009,1995,289.6085416,4.270617163,243.2981705,158.9241588,1716.266288,9.203419959,0.195384249,200.8100143,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2777166,153.2189404,5.705218392
element_1009,1996,290.0450803,4.106587172,239.6645246,168.2659644,1746.565109,9.20310573,0.186617472,312.2213992,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3463922,163.104781,5.161183351
element_1009,1997,290.5230217,4.158528267,241.5223128,146.7857189,1819.764919,9.183767876,0.191052963,272.2871571,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.321398,142.9180077,3.86771124
element_1009,1998,290.6535056,4.172596176,242.0200284,145.8547775,1794.58992,9.166597432,0.198581092,202.474609,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2738155,141.3387374,4.516040065
element_1009,1999,290.4654129,4.06337793,242.646825,117.455209,1762.142574,9.110362267,0.180087182,262.8779001,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.282579,114.6917617,2.763447297
element_1009,2000,290.579913,4.130087241,244.8995497,134.481114,1791.517431,9.155734624,0.141970972,227.9666257,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2362013,130.2084212,4.272692781
element_1009,2001,290.5478674,4.256588407,238.1864804,176.5168607,1754.414296,9.194391457,0.17750193,224.9192739,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2563411,169.0444731,7.472387611
element_1009,2002,290.6589712,4.117960506,241.7465259,136.7057667,1774.653335,9.18940882,0.173056208,272.6111123,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2699577,132.6931721,4.012594556
element_1009,2003,290.6685856,4.151851626,240.9541777,128.6111745,1828.580837,9.143672841,0.170525805,190.3992877,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2408243,124.8889445,3.722230025
element_1009,2004,290.4368604,4.100980766,242.382303,139.7441466,1752.015807,9.129088312,0.180167693,246.7404658,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2806911,135.6085276,4.135619032
element_1009,2005,290.4334818,4.1481094,237.6599779,194.5749287,1756.390054,9.168826121,0.190058186,207.7248276,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2821068,185.9910522,8.583876536
element_1009,2006,290.496162,4.168391991,239.8543485,178.5360375,1743.55462,9.26305818,0.210990385,207.783034,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.284913,171.4399509,7.096086649
element_1009,2007,290.8719373,4.17695822,241.2314097,135.3440416,1835.620983,9.203893032,0.173925604,405.4490546,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2767107,131.6625116,3.681530021
element_1009,2008,290.7081493,4.138442866,240.9457464,130.6142942,1833.045951,9.160267312,0.228246842,241.2581324,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3232945,127.6977146,2.916579599
element_1009,2009,290.7042572,4.131647547,242.0601612,146.3106564,1818.769317,9.147440691,0.226990397,291.043234,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3272194,142.5394218,3.771234569
element_1009,2010,290.6221796,4.142003983,241.5100506,138.4052286,1809.821774,9.13772583,0.198476626,169.7089868,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.253556,134.1573697,4.247858852
element_1009,2011,291.0659546,4.170990436,238.0303273,162.7526568,1790.209707,9.188822979,0.162880546,304.6978143,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2956066,157.3453086,5.407348159
element_1009,2012,290.7961606,4.1434594,243.9117788,137.4785907,1762.165399,9.159844383,0.176404171,200.0856522,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2399613,132.9608609,4.517729774
element_1009,2013,291.0230223,4.180134518,241.4373904,138.0656771,1843.036703,9.123064245,0.160198934,299.215383,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.280098,134.2779681,3.787709028
element_1009,2014,290.9372081,4.17621228,245.3125071,118.3450235,1824.049019,9.11228033,0.141827508,256.4245587,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2590892,115.4263738,2.918649711
element_1009,2015,291.0399201,4.157545561,233.26044,188.2508873,1844.512437,7.376161448,0.149700996,1225.150759,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.330639,181.7349607,6.51592656
element_1009,2016,290.6120381,4.296136653,234.8750091,180.4511346,1779.336217,7.366524968,0.155208399,1491.575267,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.318931,174.038784,6.412350584
element_1009,2017,291.2177372,4.02992415,237.284997,136.2074626,1851.367966,7.371835016,0.19319007,545.1405226,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3693562,133.482256,2.725206645
element_1009,2018,291.2232148,4.065239135,236.195716,173.6598874,1839.546137,7.373906823,0.188126495,794.6907611,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.381943,168.9974433,4.662444072
element_1009,2019,291.5093604,3.979425277,240.8281071,114.1106858,1842.225126,7.356961997,0.179177012,2052.465537,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3066044,111.8575426,2.253143159
element_1009,2020,290.7963224,4.213982537,237.5200395,136.8716766,1803.511869,7.340976307,0.152234713,2380.807632,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3313339,133.642463,3.229213641
element_1009,2021,291.2301441,4.043466661,237.9617289,166.3982952,1829.762209,7.390928741,0.149006595,1034.888861,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3280834,161.3910015,5.007293722
element_1009,2022,291.3347091,4.138552184,238.064516,141.057332,1805.90681,7.366568907,0.184647983,920.2489256,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.345213,137.7538341,3.303497935
element_1009,2023,291.6358009,4.059345276,239.4578379,159.2082675,1888.354299,7.341605166,0.188444681,1366.698792,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3833328,155.5511347,3.657132768
element_1009,2024,291.3934008,4.136976327,239.1771136,144.5093903,1906.21341,7.46077706,0.162002574,2479.06689,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3157896,140.9281345,3.581255751
