no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,p-n,AET,R
element_115,1985,295.0868476,2.717769033,227.2538062,1528.299009,1875.655326,16.16479645,2.805147954,2042.913035,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10,2.322325,1241.130398,287.1686109
element_115,1986,295.0010523,2.732820351,231.4399684,1462.825652,1884.778391,16.0696214,2.761724832,1622.279554,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10,2.2681959,1201.451084,261.3745682
element_115,1987,294.8082542,2.777726431,229.3444098,1455.73538,1848.044607,16.13978744,2.849753684,2116.057402,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10,2.2612455,1188.133933,267.6014467
element_115,1988,295.00393,2.835420958,229.3022865,1437.135744,1874.71899,15.90154466,2.815067841,1601.034675,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10,2.2850192,1188.074064,249.0616798
element_115,1989,295.049593,2.730150815,227.3453824,1564.419082,1893.012153,16.23279427,2.821789784,2104.307495,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10,2.2666266,1254.599856,309.8192263
element_115,1990,295.2493099,2.727563112,232.6685818,1368.548131,1897.732554,16.02369506,2.777436205,1767.453625,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10,2.281944,1154.479976,214.0681555
element_115,1991,295.2457608,2.770817005,229.9449837,1479.48855,1927.568926,15.9407726,2.819116758,2324.712495,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10,2.2565966,1218.177823,261.3107267
element_115,1992,294.8284635,2.719645677,225.8518929,1432.194465,1879.74538,16.21981659,2.863882874,1645.778558,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10,2.3362868,1193.921914,238.2725506
element_115,1993,294.7937757,2.74583924,228.8651498,1494.09705,1867.511726,16.11162669,2.853037896,2188.125619,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10,2.2630627,1212.696131,281.4009188
element_115,1994,295.0356524,2.764663081,231.2369623,1350.56308,1871.198909,16.07170204,2.737318666,1603.499774,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10,2.2674186,1136.986894,213.5761859
